"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"ป.ตรีสังคมศาสตร์การแพทย์และสาธารณสุข","0","0","1","1","0","1"
"ป.ตรีวิทยาการคอมพิวเตอร์","0","0","1","1","0","1"
"ปริญญาตรี สาขา บริหารหรือที่เกี่ยวข้อง","1","0","0","1","0","1"
"บริหารและการจัดการ","0","0","1","1","0","1"
"ป.ตรี ความปลอดภัย","1","0","0","1","0","1"
"ป.ตรีอาชีวอนามัย","0","0","1","1","0","1"
"ป.ตรีศิลปการช่าง","1","0","0","1","0","1"
"ป.ตรีวิทยาศาสตร์การแพทย์","0","1","0","1","0","1"
"ป.ตรีเศรษฐศาสตร์การขนส่ง","0","0","1","1","0","1"
"ป.ตรีวิทยาศาสตร์-ฟิสิกส์","0","1","0","1","0","1"
"อุตสาหกรรมยานยนต์","0","0","1","1","0","1"
"การเงินและบัญชี","0","0","1","1","0","1"
"ป.ตรีบัญชีต้นทุน","0","0","1","1","0","1"
"บริหารธุรกิจ / การตลาด","0","1","0","1","0","1"
"สถาปัตยกรรม / มัณฑนศิลป์ / ผังเมือง","0","0","1","1","0","1"
"ป.ตรีวิศวกรรมความปลอดภัย","1","0","0","1","0","1"
"การบันชี","0","1","0","1","0","1"
"วิศวะโยธา","1","0","0","1","0","1"
"ป.ตรีการเงินและการธนาคาร","0","0","1","1","0","1"
"ป.ตรีการเลขานุการ","0","0","1","1","0","1"
"ป.ตรีเทคนิคเขียนแบบวิศวกรรมเครื่องกล","0","0","1","1","0","1"
"ป.ตรีเทคโนโลยีการอาหารและโภชนาการ","0","1","0","1","0","1"
"วิศวกรสิ่งแวดล้อม","0","0","1","1","0","1"
"ปฐมวัย","0","1","0","1","0","1"
"สาขาการด้านธุรกิจหรือด้านนิติศาสตร์","0","0","1","1","0","1"
"ออกแบบดีไซน์","1","0","0","1","0","1"
"ป.ตรีเทคโนโลยีการผลิต","1","0","0","1","0","1"
"Electrical , Mechatronics, Computer Engineer","0","0","1","1","0","1"
"เทคนิคแม่พิมพื","0","0","1","1","0","1"
"ป.ตรีภาษา วิชาเอกภาษาอังกฤษ","0","1","0","1","0","1"
"ป.ตรีวิศวกรรมสิ่งทอ","0","0","1","1","0","1"
"วิศวกรรมการผลิต,เคมี,อุตสาหกรรม","0","0","1","1","0","1"
"ป.ตรีการสื่อสาร","0","1","0","1","0","1"
"สาขาวิชาเอกคณิตศาสตร์","0","0","1","1","0","1"
"ป.ตรีดุริยางคศาสตร์, ดนตรี","0","0","1","1","0","1"
"ป. ตรีมัธยมศึกษา (คณิตศาสตร์)","0","1","0","1","0","1"
"วิทยาศาสรต์ประยุกต์/พลังงาน/เคมี/สิ่งแวดล้อม","0","1","0","1","0","1"
"ปริญญาตรี(วทบ.)สาขาวิทยาศาสตร์และเทคโนโลยีการอาหาร  หรือสาขาอื่นๆ  ที่เกี่ยวข้อง","0","0","1","1","0","1"
"สาขาเทคโนโลยีการอาหาร  หรือสาขาที่เกี่ยวข้อง","0","0","1","1","0","1"
"Mechatronics or Engineer any field.","0","0","1","1","0","1"
"ป.ตรีการบริหารธุรกิจ","1","0","0","1","0","1"
"วิศวกรรมคอมฯ สาขาวิทยาการคอมฯ  มีประสบการณ์ในสายงาน 1-2 ปี","0","0","1","1","0","1"
"ไม่จำกัด แต่ต้องมีประสบการณ์ในสายงาน อย่างน้อย 7-10 ปี","0","0","1","1","0","1"
"ป.ตรีวิจัย","0","0","1","1","0","1"
"ป.ตรีรังสีเทคนิค","0","1","0","1","0","1"
