"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"ป.ตรีช่างเชื่อมโลหะ","1","0","0","1","0","1"
"ปวช. การจัดการ","0","0","1","1","0","1"
"ช่างอุตสาหกรรม","1","0","0","1","0","1"
"เลขานุการ","0","1","0","1","0","1"
"บริหารธุรกิจหรือสาขาที่เกี่ยวข้อง","1","0","0","1","0","1"
"ป.ตรีวิศวกรรมเคมีและเทคนิควัสดุ / สิ่งทอ","0","0","1","1","0","1"
"ปวส. ส่งเสริมเกษตร","1","0","0","1","0","1"
"ป. ตรีมัธยมศึกษา (ชีววิทยา)","0","0","1","1","0","1"
"การจัดการ การตลาด","0","0","1","1","0","1"
"ป.ตรีทันตแพทยศาสตร์","0","1","0","1","0","1"
"ป. ตรีมัธยมศึกษา (อุตสาหกรรมศิลป์ออกแบบ - เขียนแบบ)","0","0","1","1","0","1"
"ป.ตรีการจัดการงานก่อสร้าง","1","0","0","1","0","1"
"วิทยาการคอมพิวเตอร์ และ วิศวกรรม(คอมพิวเตอร์)","0","0","1","1","0","1"
"ป.ตรีการประชาสัมพันธ์","0","0","1","1","0","1"
"ป.ตรีวิศวกรรมศาสตร์และช่างต่าง ๆ","1","0","0","1","0","1"
"ป. ตรีวิศวกร","1","0","0","1","0","1"
"ป.ตรีเทคโนโลยีคอมพิวเตอร์","0","1","0","1","0","1"
"อีเล็คทรอนิก","1","0","0","1","0","1"
"ปวช. เทคโนโลยีสิ่งทอ อุตสาหกรรมสิ่งทอ วิศวกรรมสิ่งทอ","1","0","0","1","0","1"
"ป.ตรีการประกันภัย","0","1","0","1","0","1"
"วิศวกรรมศาสตร์","1","0","0","1","0","1"
"ป.ตรีกฎหมาย","1","0","0","1","0","1"
"บริหารทรัพยากรบุคคล","0","1","0","1","0","1"
"ป.ตรีเภสัชกรรม","0","0","1","1","0","1"
"ป.ตรีวิศวกรรมสำรวจ","1","0","0","1","0","1"
"ป.ตรีการบริหารธุรกิจ แขนงวิชาการบริหารงานทั่วไป","0","1","0","1","0","1"
"อิเล็กทรอนิกส์","1","0","0","1","0","1"
"ป.ตรีช่างยนต์","1","0","0","1","0","1"
"ป.ตรีสังคมศาสตร์การแพทย์และสาธารณสุข","0","0","1","1","0","1"
"อุตสาหกรรมยานยนต์","0","0","1","1","0","1"
"การเงินและบัญชี","0","0","1","1","0","1"
"Computer Science, IT or Software Engineer","1","0","0","1","0","1"
"ป.ตรีบัญชีต้นทุน","0","0","1","1","0","1"
"บริหารธุรกิจ / การตลาด","0","1","0","1","0","1"
"ปวส. การบริหารงานคหกรรมศาสตร์","0","1","0","1","0","1"
"สถาปัตยกรรม / มัณฑนศิลป์ / ผังเมือง","0","0","1","1","0","1"
"ป.ตรีวิศวกรรมความปลอดภัย","1","0","0","1","0","1"
"การบัญชี/การตลาด","0","1","0","1","0","1"
"การบันชี","0","1","0","1","0","1"
"ช่างไฟ","1","0","0","1","0","1"
"วิศวะโยธา","1","0","0","1","0","1"
"ป.ตรีการเงินและการธนาคาร","0","0","1","1","0","1"
"ป.ตรีการเลขานุการ","0","0","1","1","0","1"
"บริหาร","0","0","1","1","0","1"
"ไฟฟ้ากำลัง","1","0","0","1","0","1"
"เทคนิคแม่พิมพื","0","0","1","1","0","1"
"ป.ตรีภาษา วิชาเอกภาษาอังกฤษ","0","1","0","1","0","1"
"ป.ตรีวิศวกรรมสิ่งทอ","0","0","1","1","0","1"
"วิศวกรรมการผลิต,เคมี,อุตสาหกรรม","0","0","1","1","0","1"
"ป.ตรีการสื่อสาร","0","1","0","1","0","1"
"สาขาวิชาเอกคณิตศาสตร์","0","0","1","1","0","1"
"ป.ตรีดุริยางคศาสตร์, ดนตรี","0","0","1","1","0","1"
"ป. ตรีมัธยมศึกษา (คณิตศาสตร์)","0","1","0","1","0","1"
"ปวส. การเลขานุการ","0","1","0","1","0","1"
"การขาย","0","1","0","1","0","1"
"ป.ตรีคณิตศาสตร์ศึกษา","0","0","1","1","0","1"
"วิชาชีพ","1","0","0","1","0","1"
"แม่พิมพ์โลหะ","1","0","0","1","0","1"
"บริหาร, การตลาด , มนุษยศาสร์","0","0","1","1","0","1"
"ป.ตรีเคมีเทคนิค","0","0","1","1","0","1"
"นิเทศศาสตร์ / สื่อสารมวลชนและการเอกสาร","0","0","1","1","0","1"
"ป.ตรีจิตวิทยาอุตสาหกรรม","0","0","1","1","0","1"
"ปริญญาตรีวิทยาศาสตร์เคมี","0","0","1","1","0","1"
"ป.ตรีสื่อสารมวลชน","0","0","1","1","0","1"
"ป.ตรีอิเล็กทรอนิกส์","1","0","0","1","0","1"
"ป.ตรีการบริหารทรัพยากรมนุษย์","0","0","1","1","0","1"
"การก่อสร้าง/สถาปัตย์","0","0","1","1","0","1"
"ป.ตรีเกษตรกรรม","1","0","0","1","0","1"
"ป. ตรีมัธยมศึกษา (วิทยาศาสตร์-คณิตศาสตร์)","0","1","0","1","0","1"
"ป.ตรีมานุษยสงเคราะห์","0","0","1","1","0","1"
"ป.ตรีการพัฒนาทรัพยากรมนุษย์","0","1","0","1","0","1"
"วิศว","1","0","0","1","0","1"
"ช่างยนต์ ช่างเครื่อง","1","0","0","1","0","1"
"ป.ตรีบริหารธุรกิจ-การบัญชี","0","1","0","1","0","1"
"ป. ตรีการตลาด","0","1","0","1","0","1"
"ป. ตรีบัญชี/การเงิน","0","1","0","1","0","1"
"ปวส. ช่างโลหะ","1","0","0","1","0","1"
"ป.ตรีรัฐศาสตร์ / การบริหาร","0","0","1","1","0","1"
"Industrial Engineer","0","1","0","1","0","1"
"ป.ตรีอาชีวศึกษา/อุดมศึกษา","0","0","1","1","0","1"
"บริหารธุรกิจ หรือสาขาที่เกี่ยวข้อง","0","0","1","1","0","1"
"กราฟฟิคดีไซน์ หรือโซเซียลมีเดีย","0","0","1","1","0","1"
"บริการการจัดการ","0","0","1","1","0","1"
"ที่เกี่ยวข้อง","0","1","0","1","0","1"
"คอมฟิวเตอร์","0","0","1","1","0","1"
"ป.ตรีการวิจัยและการพัฒนาหลักสูตร","0","0","1","1","0","1"
"ขั้นต่ำป.ตรีงานบุคคล","0","1","0","1","0","1"
"ป.ตรีเทคโนโลยีการบรรจุ","0","0","1","1","0","1"
"ป.ตรีเทคโนโลยีและนวัตกรรมทาง การศึกษา","0","0","1","1","0","1"
"ป.ตรีเทคโนโลยีสิ่งแวดล้อม สาขาวิชาเฉพาะวิศวกรรมอนามัยสิ่งแวดล้อม","0","0","1","1","0","1"
"ป.ตรีนิติศาสตร์","1","0","0","1","0","1"
"การจัดการทั่วไป","0","1","0","1","0","1"
"ไม่เน้น","1","0","0","1","0","1"
"วิทยาศาสตร์คอมพิวเตอร์","0","0","1","1","0","1"
"วิทยาศาสตร์สาขาเคมี/ชีววิทยา","0","1","0","1","0","1"
"ป.ตรีสถาปัตยกรรมศาสตร์","0","0","1","1","0","1"
"ช่างเทคนิค","1","0","0","1","0","1"
"ป.ตรีการศึกษานอกระบบ-คหกรรมศาสตร์","0","1","0","1","0","1"
"ธุรการ","0","1","0","1","0","1"
"ป.ตรีวิทยาศาสตร์ศึกษา","0","0","1","1","0","1"
"ป.ตรีเศรษฐศาสตร์การเงินและการตลาด","0","0","1","1","0","1"
"คอมพิวเตอร์กราฟฟิก","0","0","1","1","0","1"
"-อุตสาหกรรม-เทคโนโลยีการผลิต-เครื่องกล","1","0","0","1","0","1"
"ป.ตรีการสอนธุรกิจศิลป์ (บริหารธุรกิจ)","1","0","0","1","0","1"
"ป.ตรีการสอนคหกรรมศาสตร์","0","0","1","1","0","1"
