"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"อาหารและโภชนาการ","0","0","1","1","0","1"
"ปวส. สาขาช่าง","1","0","0","1","0","1"
"ป.ตรีเศรษฐศาสตร์การเงินและการตลาด","0","0","1","1","0","1"
"ป.ตรีเภสัชกรรมโรงพยาบาล","0","1","0","1","0","1"
"เกษตรศาสตร์","1","0","0","0","1","1"
"ป.ตรีหมวดบัญชีการเงิน","0","0","1","1","0","1"
"Business Administration หรือที่เกี่ยวข้อง","0","0","1","1","0","1"
"ช่างเทคโนโลยีสารสนเทศ","1","0","0","1","0","1"
"ป.ตรีวิศวกรรมคอมพิวเตอร์","0","0","1","1","0","1"
"ไม่จำกัด แต่ต้องมีประสบการณ์ในสายงาน อย่างน้อย 5-7 ปี","1","0","0","1","0","1"
"ช่่างยนต์","1","0","0","1","0","1"
"ป.ตรีเคมีอุตสาหการ-ปิโตรเคมี","0","0","1","1","0","1"
"ป.ตรีบัญชีธุรกิจการโรงแรม","0","0","1","1","0","1"
"นิเทศศาสตร์","0","0","1","1","0","1"
"ปวช.คอมพิวเตอร์ธุรกิจ","0","0","1","1","0","1"
"สาขาท่องเที่ยว","0","1","0","1","0","1"
"ป.ตรีเครื่องกล(วิชาเอกเทคนิคช่างยนต์)","1","0","0","1","0","1"
"ป.ตรีเทคนิคการแพทย์","0","0","1","1","0","1"
"การตลาด/ขาย","0","0","1","1","0","1"
"ป.ตรีศิลปกรรมและสถาปัตยกรรม","0","0","1","1","0","1"
"ป.ตรีภาษาญี่ปุ่น","0","0","1","1","0","1"
"ปวช. การจัดการ","0","0","1","1","0","1"
"ปวส. สถาปัตยกรรม","1","0","0","1","0","1"
"ปวช. ช่างเทคนิคอุตสาหกรรม","1","0","0","1","0","1"
"วิทยาศาสตร์การกีฬา","1","0","0","1","0","1"
"ป. ตรีมัธยมศึกษา (สังคมศึกษา)","0","1","0","1","0","1"
"ป.ตรีบริหารธุรกิจ วิชาเอกบริหารธุรกิจ-การบัญชี","0","0","1","1","0","1"
"ป. ตรีวิศกรรมไฟฟ้า","1","0","0","1","0","1"
"-พานิชยกรรม-คอม-บัญชี","0","1","0","1","0","1"
"ป.ตรีวิทยาศาสตร์สิ่งแวดล้อม","1","0","0","1","0","1"
"ป.ตรีการบริหารทรัพยากรมนุษย์และองค์การ","0","0","1","1","0","1"
"ป.ตรีวิศวกรรมอุตสาหการ (วิศวกรรมเคมีอุตสาหกรรม)","1","0","0","1","0","1"
"การจัดการทรัพยากรมนุษย์","0","1","0","1","0","1"
"วิศวกร","1","0","0","1","0","1"
"ปวส. อุตสาหกรรมอาหาร","0","1","0","1","0","1"
"ป.ตรี ที่เกี่ยวข้อง","0","0","1","1","0","1"
